Instance,Income
111994,15725.079344003578
111995,-31320.84864817455
111996,35522.79076798278
111997,183205.98937954556
111998,11986.06867786462
111999,123339.34545424447
112000,110111.06832994509
112001,65512.30953396973
112002,54776.22493755794
112003,105495.14200382418
112004,-31455.701358987193
112005,165151.82035361597
112006,-10769.93557630066
112007,104060.03550627589
112008,285824.36496928474
112009,98622.99434614641
112010,38720.24379389989
112011,10.971008328546304
112012,16490.665040099702
112013,46273.59721557464
112014,146505.26879955217
112015,33740.943846802926
112016,62109.597327950294
112017,6216.275618085405
112018,204427.43547854453
112019,51932.95598926523
112020,-15035.21526760771
112021,-24406.752415487543
112022,95851.4141680274
112023,99639.56689340807
112024,-8494.842482138949
112025,77902.56308416015
112026,73963.39759949117
112027,64636.01429651404
112028,14550.253029690008
112029,54587.073938505084
112030,161592.54724248132
112031,235188.74402307742
112032,221571.40969836357
112033,110174.33723586582
112034,306015.9270639672
112035,138779.2640361655
112036,168538.32301377686
112037,155960.64841132454
112038,176678.69499180003
112039,31233.20204819314
112040,79120.54926971596
112041,69628.20201428008
112042,64279.50127585797
112043,44479.41338509519
112044,49116.7101415472
112045,41603.13446874131
112046,259821.13928976716
112047,23628.293129184167
112048,-31190.401355610404
112049,104182.46986757137
112050,25820.947903514258
112051,70824.66186651989
112052,118664.99168331182
112053,183151.93892887613
112054,99358.22279584617
112055,-11021.349094332196
112056,100634.80402514717
112057,-6697.680233690306
112058,95209.46228901186
112059,7851.437019562116
112060,267200.7979758127
112061,148438.8576786323
112062,180347.50329278898
112063,69797.82066264527
112064,-18741.325998757966
112065,42563.238606848114
112066,8188.421855583554
112067,112824.46638366074
112068,105479.62249244214
112069,231933.02425162986
112070,303614.590166785
112071,76955.08704707993
112072,83440.26298863208
112073,29521.352425220015
112074,26532.57659831096
112075,-11922.930019041814
112076,120685.49990536104
112077,471423.8423282838
112078,-8640.51294724457
112079,209956.93234873755
112080,159444.25791627786
112081,419799.35977962933
112082,6919.473759208864
112083,592726.8102133006
112084,25079.36599499022
112085,56044.29163917771
112086,9510.450063603697
112087,62397.85596626764
112088,127839.60330431903
112089,31780.385583776224
112090,178516.27255212935
112091,28918.17288006231
112092,29544.294528333005
112093,101406.15482244588
112094,13255.51401085686
112095,28347.669459932134
112096,155429.43287530105
112097,20828.61851570598
112098,-27744.89170193026
112099,42210.55942320684
112100,16877.592154786165
112101,271661.7572568398
112102,7555.382793202705
112103,132818.1683417922
112104,87432.53063923266
112105,105533.83412869315
112106,101465.71484900796
112107,121575.72262478393
112108,89769.40154297632
112109,24748.346429659636
112110,66011.31478222954
112111,745.321427519666
112112,69145.574512891
112113,78224.60091354675
112114,44386.6462893319
112115,24879.327423960436
112116,43447.66904925497
112117,104052.17970130348
112118,31156.519487691752
112119,40492.43393365096
112120,308862.4708964787
112121,120250.69457895192
112122,335393.68040723284
112123,285945.0601768404
112124,73311.88174718898
112125,165443.97956664502
112126,153948.48071600468
112127,-4382.533652010316
112128,59826.19390447083
112129,115794.50666200987
112130,90061.93927648815
112131,69137.2140692611
112132,82302.2963009646
112133,251208.9108648639
112134,47516.096065697435
112135,-47918.15749784809
112136,42828.124298171315
112137,-5454.099225493497
112138,27850.9819883217
112139,55785.664525015105
112140,40867.48253738263
112141,43289.61750441004
112142,64939.194419959735
112143,246757.04054588825
112144,-38821.21312611888
112145,36975.47997749684
112146,69360.43472653913
112147,200992.775419428
112148,60008.80317857192
112149,83331.10919795273
112150,-28658.16437463707
112151,225173.63366786603
112152,120719.95321947988
112153,65963.28524977161
112154,70936.76695051033
112155,103741.52008793852
112156,109033.43269491417
112157,114698.60024743102
112158,64477.02922231745
112159,275595.7960834772
112160,55546.79380164016
112161,160730.07972063217
112162,131782.9040055666
112163,29100.787390548503
112164,67108.62908142089
112165,139154.94015217794
112166,77853.1381173404
112167,39667.1155463609
112168,72134.70176631259
112169,209135.17297968804
112170,186205.49627548066
112171,66856.93265994126
112172,-2459.9576599273714
112173,148226.6732325296
112174,10560.019639684877
112175,56090.632140723756
112176,6990.747200413316
112177,105719.56818244117
112178,-26048.86268397828
112179,14979.734998721338
112180,3501.423741692968
112181,-6020.212982219295
112182,196891.8366749639
112183,101417.50655602466
112184,-854.8722138825106
112185,281846.1324057486
112186,4839.5831762657035
112187,152682.59395235422
112188,180835.96938931718
112189,36864.073628473096
112190,57248.093700672616
112191,84927.79876686155
112192,285153.8905090471
112193,22245.149106524652
112194,156541.3300341025
112195,54058.468436257564
112196,-19240.776700269198
112197,280728.99225317163
112198,40924.08540175302
112199,43302.81644031004
112200,46633.37246547191
112201,233959.95686881855
112202,129536.9836896446
112203,41083.03264174657
112204,54365.27595726313
112205,-24469.399564696476
112206,111616.24721760518
112207,298530.2307920253
112208,77795.06806441298
112209,350097.3285426701
112210,49464.71896878909
112211,217730.09649158208
112212,80683.42928698653
112213,2466.7349080235
112214,255974.72102678538
112215,40986.28489094158
112216,133499.7366718232
112217,11993.725837086211
112218,25793.557245558244
112219,304379.1699671463
112220,69459.24549768353
112221,-35161.13352898572
112222,27707.522426651907
112223,56158.88346845546
112224,190188.68552743638
112225,34466.359501470695
112226,85465.54346487537
112227,57251.755656354304
112228,108584.02217965986
112229,82852.12289683294
112230,187230.74392202075
112231,-53706.71072115749
112232,142868.08185609552
112233,9696.108574195066
112234,63192.28680513735
112235,-28231.74562618282
112236,126402.75055043574
112237,336987.34495828627
112238,64797.85229045118
112239,33740.59013638529
112240,38568.17172621167
112241,14074.003697903128
112242,26361.606430510816
112243,89030.79524187057
112244,193468.28861141516
112245,122169.48079194629
112246,57286.16190561571
112247,347331.9594661212
112248,119938.14398040896
112249,-35867.64271710039
112250,35203.06782850233
112251,57406.43539922149
112252,52156.375434786256
112253,-2966.826872113801
112254,209709.63285214122
112255,45320.27847188874
112256,15529.604216426611
112257,54178.76817946124
112258,377042.016634229
112259,210566.72183495664
112260,153274.9784296808
112261,304379.67370136705
112262,98921.11140768451
112263,9282.0388354538
112264,77203.08040150197
112265,23809.71288658667
112266,60901.811944698915
112267,73002.46212897549
112268,94397.70904257084
112269,392668.62364760845
112270,-18924.435143949522
112271,91660.1259498308
112272,108062.0598961353
112273,135489.42197658686
112274,-26973.74404454924
112275,249235.65362220196
112276,260385.0752676225
112277,61464.39956195507
112278,5181.4314866947825
112279,-421.40667199139716
112280,133759.527455481
112281,50217.17727210163
112282,189607.29978083994
112283,106761.79613575013
112284,86283.07642388652
112285,78658.88258039608
112286,59891.654924635484
112287,21332.495175807155
112288,89323.37715047383
112289,214652.81488560067
112290,175985.48140558333
112291,-8689.715429494448
112292,360517.71459432895
112293,23995.407591638563
112294,272643.2112482413
112295,59679.39714052924
112296,205439.7059744761
112297,89601.52705741505
112298,90089.83626561076
112299,11435.800042499206
112300,26553.672696472495
112301,26088.042697049445
112302,32196.416682763083
112303,20392.695744934666
112304,165517.13956872717
112305,15616.279528178857
112306,97220.59475521382
112307,48383.20464009087
112308,120807.6215029849
112309,78130.93996448035
112310,11887.394433001347
112311,100600.8017013953
112312,36637.161833612074
112313,120520.08602359093
112314,-16628.118184255552
112315,194966.42775349415
112316,26996.914175087993
112317,19706.247641249618
112318,7427.748636068776
112319,-13348.727468198922
112320,390356.2845540613
112321,31917.08824142767
112322,14390.039757677994
112323,109700.56149742036
112324,337477.84312755585
112325,227692.49655602154
112326,126378.862733091
112327,263513.58228516765
112328,104689.47622422734
112329,181586.14088730596
112330,316598.8752673732
112331,327993.8767959308
112332,260524.84522725467
112333,269195.41925005754
112334,270734.51189139526
112335,92669.53435501957
112336,18558.04639064544
112337,197076.45848843112
112338,251960.82644126736
112339,285158.14078171353
112340,46442.28029053571
112341,485507.3599007737
112342,68632.98576333578
112343,78274.96519551269
112344,43181.832713516604
112345,48447.569909718935
112346,107133.27550161921
112347,-9187.939339452714
112348,-1659.158087325457
112349,4732.094168829033
112350,111999.78056660725
112351,48356.5270033101
112352,52849.32844578393
112353,-30361.40323725826
112354,129473.23805133114
112355,72076.29240628256
112356,69150.51167145191
112357,57042.55678619951
112358,100221.09754629247
112359,41099.21011140355
112360,12136.091404315433
112361,226514.60218060028
112362,83730.60727888008
112363,60765.82143481914
112364,-42595.64291313657
112365,-27129.934520408744
112366,43422.844164636685
112367,39629.462750286155
112368,31999.852150508203
112369,167956.7693885302
112370,-24647.9232383403
112371,308955.8580858194
112372,128661.61576036777
112373,54578.89083884162
112374,8517.473694144166
112375,29025.0516227748
112376,95956.95589393756
112377,130302.82061611093
112378,59793.231707873696
112379,100497.65177986806
112380,61441.76006637007
112381,72560.65584676026
112382,98721.23625993705
112383,54305.098875528434
112384,237017.78014436553
112385,6724.767434611276
112386,196249.05895588532
112387,57923.9698543211
112388,46053.58042019431
112389,40365.739979066886
112390,29272.069102108013
112391,2710.1218570130877
112392,123954.50837764615
112393,70807.76465516392
112394,48869.24165323563
112395,67920.76822564245
112396,141164.05940611882
112397,77372.1541949212
112398,335088.9832864545
112399,102770.94134866568
112400,81450.87808246724
112401,109488.67017491814
112402,437382.5206953868
112403,148082.11928067612
112404,94339.96502439177
112405,69709.53704583668
112406,14111.527101689193
112407,27834.555499589827
112408,40286.560699695954
112409,82324.95172285225
112410,4262.075886363222
112411,141220.476370593
112412,140042.62670271983
112413,18444.3984797764
112414,114164.8974628073
112415,157430.2680613855
112416,96745.95380306622
112417,118329.17685098841
112418,75662.536148038
112419,220983.89412250085
112420,59105.96118801617
112421,267590.6261740886
112422,110576.02617035445
112423,33503.48347456049
112424,19020.378474755213
112425,11587.832235235022
112426,115973.81337918568
112427,302927.72628086875
112428,248694.3970144784
112429,-826.092402942013
112430,46936.7955432657
112431,145155.6516168752
112432,5195.385503306228
112433,105499.43414663186
112434,338102.6294943074
112435,30843.726834905625
112436,47282.986086959485
112437,73949.62975640548
112438,77731.63486881088
112439,27953.95044609194
112440,254536.08752515778
112441,87488.31020383019
112442,312672.2584472921
112443,59785.2295308772
112444,8589.853693354293
112445,63232.16203118296
112446,358213.45506020193
112447,388899.5780018262
112448,71296.02076830313
112449,88437.9377187696
112450,29816.145443251356
112451,118819.08537453099
112452,22497.724560497154
112453,59411.76391682093
112454,118690.91154109646
112455,417145.32500368234
112456,38656.22557774285
112457,194386.13191402875
112458,111773.26436785911
112459,41005.92055102845
112460,64544.47443984402
112461,319089.99484059366
112462,107742.10009780643
112463,78683.24045219278
112464,58066.48849500518
112465,149196.32626538404
112466,198902.32673359354
112467,45625.74474772153
112468,19342.483774349792
112469,47502.689808893134
112470,21906.067292135907
112471,73518.78727602237
112472,147209.77735701954
112473,107730.8108550213
112474,61962.49377418251
112475,87179.34859464446
112476,104165.75789954269
112477,33760.0876647401
112478,81315.04812001123
112479,22207.74284538976
112480,49869.047124721925
112481,160093.07560972765
112482,47531.80511730793
112483,237101.526961909
112484,72974.50320671254
112485,117275.01365301164
112486,-18554.048331379774
112487,9954.437053913134
112488,192052.6771330409
112489,46796.714306413196
112490,318754.46154545515
112491,79481.63888125168
112492,76604.0880099709
112493,247047.31942739102
112494,11574.515252243611
112495,-38579.80794620281
112496,6976.550085865427
112497,202945.56696763716
112498,38671.83740084735
112499,52662.223782497225
112500,27444.746192731138
112501,50088.55294708675
112502,61056.354391019326
112503,31108.90128921304
112504,46755.46638543991
112505,14675.264216784795
112506,90734.70982215542
112507,97718.40630260843
112508,103911.04152132256
112509,2210.528965054895
112510,54880.305005196016
112511,159206.83720557918
112512,7318.117728715646
112513,93837.2680590935
112514,55308.68281819293
112515,110906.86562463397
112516,83531.33647232899
112517,8261.062778192747
112518,69192.30840561813
112519,-6431.073580723896
112520,38327.489248003345
112521,160954.00995777527
112522,55557.69457995321
112523,63474.117393014545
112524,86298.79540989036
112525,-26341.543474484293
112526,14575.824845299707
112527,62633.87536634074
112528,18870.853933807113
112529,13595.294513630448
112530,109299.5876983701
112531,153254.864110553
112532,145843.4052649474
